Proposed standard spelling for our dataset (MK),Term,English,spelling variations,in our dataset? y/n,in 2ndary glossaries y/n,Description,object type,fiber type,color,how color applied,pattern,weave type,quality,Source Location?,Exported to:,(in purple): modifiers from our data (full text),modifier: color,modifier: pattern,modifier: place,modifier: fiber,modifer: quality,modifier: size,modifier: other or unknown,Category,Subcategory,Piece size,Image:,Notes
,rapijnen,,"rapinen, rapynen",n,y,"VijfpCVII: a wool cloth with hems? Border? red yellow, white, etc",textile,wool,red; yellow; white; etc.,,border,,,,,,,,,,,,,textile,,,,"Vijf: cost 12-14 per piece, sold at 24/piece"
,ras,,"rash, rasette, rosette, rasses, rashees, reeses",y,y,"smooth, twilled textile of worsted yarn, wool or silk",textile,silk; wool,,,,twill,,,,Marokkaans (zwaart),black,,Marocco,,,,,textile,,,,
,rastapaat,,"rasta, raster",y,y,"only definition comes from Sangar, and this is doubtful as the sources are contradictory: silk/muslin turban cloth that is solid or striped or it's related to bedding",textile,cotton; silk,varies,,stripe; check,,,,,kust,,,coast,,,,,,,,,
,rechatta,,see also chelas,n,y,"fine cotton cloth, mentioned by Linschoten along with Chelas (VOC-glossarium)",textile,cotton,,,,,fine,,,,,,,,,,,,,,,
,rehings,,"reyngs, rang, raings",n,y,"I1966: fine muslin, imported to Europe in small quantities at end of 17th century",textile,cotton,,,,plainweave,fine,I1966: Northeast India,"I1966: Europe, in small quantites at end of 17th century",,,,,,,,,textile,,,,
,restas,,,y,y,"VOCgp98: fine cloths (doeken) from Bengal, can be made of cotton, wild silk, or silk, mostly striped",textile,cotton; silk,,colored threads (loom-patterned),stripe,plainweave,fine,,,"striped, striped Bengals, silk (striped)",,striped,Bengal,silk,,,,textile,,,,
,roemaals,,"rumals, romaul, romals, romalls",y,y,"Lots of definitions on this, it comes down to thin silk square handkerchiefs with various uses (mosquito net, shoulder or head wrap, for wrapping items, etc. Some variations: also cotton, lungee rumals are striped/checked, telia rumal is double ikat; could be loom-patterned or painted/printed; regional variations; MK: in the carga lists that divide by silk and cotton, roemals will be on either side, often with a larger number on the cotton side, so we shouldn't presume that the majority of these are silk, as the secondary glossaries do",textile/handkrchief,cotton; silk,varies,colored threads (loom-patterned); painted; printed,striped; ikat; double-ikat; varies,plainweave,cheaper,,RP: Guinea Coast in 18th century,"neusdoeken (Machilipatnams), silk, half garen en half tesser, van garen",,,Machilipatnams,"half garen and half tesser, silk, van garen",,,neusdeuken,textile (maybe handkerchief),,,Peck2013 fig 102,
,roggenvel,,,,,sting ray skin/leather not a textile,not textile,,,,,,,,,kust,,,coast,,,,,not textile,,,,
,rok,,,y,y,see JAPONSE ZIJDE ROK,textile/garment,,,,,,,,,,,,,,,,,,,,,
,rolletje,,,y,n,?,unclear,,,,,,,,,Chinese,,,China,,,,,,,,,
,rotan,,,y,n,rattan - not a textile,not textile,,,,,,,,,met zilverbeslag,,,,,,,met zilverbeslag,,,,,
,Rouen cloth,,Ruan cloth,n,y,lightweight woolen textile from Rouen (Peck) - related to Rouhessen?,textile,wool,,,,,,,,,,,,,,,,,,,,
,rouhessens,,rouw hessens,n,y,unbleached linen - is it related to the general linens,textile,linen?,,N/A,N/A,,,,,,,,,,,,,,,,,
,saai,,"saey, says, zaey",n,y,"VijfpCVII: a wool cloth, mostly red, blue, yellow (note: say is a lighter version of serge)",textile,wool,,,,,,,,,,,,,,,,textile,wool,,,"Vijf: cost 35-38, sale 56-64"
,saboons,,"sabony, similar to alachas",n,y,"I1966: local name for cloths similar to alechas (originally a striped cloth of mixed cotton and silk, usually white and red or blue and white, sometimes flowered and embellished with gold or silver thread)",textile,cotton/silk?,,colored threads (loom-patterned),stripe; floral,plainweave,,I1966: Northwest India: Sind,I1966: Persia,,,,,,,,,textile,,,,
,sacerguntes,,"saueguntes, sauruncheras, sastracundies, sahasraganthis, sestherganty",n,y,"I1966: cotton cloth, the threads tie-dyed before weaving like the patolas; Gittinger80: ikat textiles from Deccan these definitions are completely inconsistent",textile,cotton,,colored threads (loom-patterned),ikat,plainweave,,I1966: South India/Coromandel Coast,I1966: England (in small quantities),,,,,,,,,textile,cotton,,,
,saderancheras,,,n,y,"patterned, coarse quality (Chaudhuri - single definition)",textile,,multiple,,,,,,,,,,,,,,,,,,,
,sahans,,"sahuns, tsehen",n,y,"I1966: superior, strong calico, used for bedsheets",textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,superior,I1966: Northeast India: Orissa,"I1966: Europe, for bedsheets",,,,,,,,,textile,cotton,,,
,sail cloth,,zeildoek,y,y,"A thick durable undyed cotton cloth, used for sails and other rough uses like packing goods",textile/utilitarian,cotton,,plain (undyed),solid (single color),,,,,"assorted, Bengals, breed Bengaals, Coromandels, fine, fine Bengaals, gebleekt, klein, gemeen, Hollands, ruw, Kust, smal, zwaar","white (bleached), raw (unbleached)",,"Holland, Bengal, Coromandel Coast",,"common, fine","smal, klein",assorted,,,,,
,sail clothing,,"zegelkleed, zeilkleed",y,n,Readymade clothing made from sailcloth (see Sugiura) - she quotes also 'doosootijs or zeylkleden' p. 107,textile/garment,cotton,,,,,,,,"ruw, gebleekt, Tuticorins, Bengals, Tengapatnams","white (bleached), raw (unbleached)",,"Tuticorins, Bengals, Tengapatnams",,,,,,,,,
,salalas,,"sallalo, salalus, sallalos, chalalos, chalias",n,y,"I1966: dyed cotton cloth, decoration varies by market, usually blue and black, or black, with a golden stripe (Hartkamp-Jonxis)",textile,cotton,blue; blue/black,"piece-dyed (solid, single color) with stripe (woven in or supplemental thread?)",solid (single color) with stripe,plainweave,,I1966: South India/Coromandel Coast,I1966: Malay archipelago,,,,,,,,,textile,cotton,,,
,salempores,,"salempouries, salempuris, salampores, salempori",y,y,"Definitions vary. Either a high quality white cotton cloth that could be used for printing, or a white cloth with red borders, or dyed blue or black. I1966: staple cotton cloth; VOCp100: various Salempuris - a type of chintz, white with a red stripe at each border; or an angora-silk cloth, or a colorful cloth from India; Alpern: blue or white cotton cloth varying widely in quality",textile,cotton,,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; border,plainweave,staple,"I1966: South India/Coromandel Coast, mostly Golcanda and Madras State; Salemporis/Serampore (south of Calucutta)",I1966: Europe,"bleached, blue (Coromandels/Pulicats), (fine/blue) coast, bruin blue, brown blue coast/Coromandels, fine bleached, (fine) bleached Bengals/coast/Pulicats, bleached Tuticorins, gemeen bleached (Bengaals/Coromandels/Datcherons/Porto Novose/Pulicats/Tuticorins), gemeen bleached datcherons, gemeen bleached (coast), gemeen ruw, red, red coast/Coromandels, ruw, ruw coast/Pulicats/Tuticorins, Bengals, gemeen","bleached, blue, brown blue, red, raw",,"Coromandel, Pulicat, coast, Bengal, Porto Novose, Datcheron, Tuticorin",,"common, fine",,,textile,cotton,I1966: 16x1 yard; RP: 4 by 1 yards,,
,salimoe,,,n,y,unclear to MK (VOC-glossarium),textile,,,,,,,,,,,,,,,,,,,,,
,sallowes,,salu,n,y,"I1966: good quality fine muslin used for turban cloths, usually embroidered or brocaded",textile,cotton,,,,plainweave; brocade; embroidered,good,"I1966: Northwest India, especially Khandesh, bought in the Burhanpur area",I1966: Turkey and North Africa,,,,,,,,,garment,,,,
,salpicadoes,,,n,y,speckled cotton cloths (VOC-glossarium),textile,cotton,,resist-dyed,speckle,,simple (eenvoudig),,,,,,,,,,,,,,,
,sanen,,"sannoes, sannas, zanen, sanno",y,y,I1966: plain cotton cloth of ordinary quality,textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,orginary to very fine,Balasore (Bengal) is main source; I1966: Northeast India: Orissa,"I1966: Europe, large quantities after 1640","fijn, Bengals, fijn Bengals/kust",,,"Bengal, coast",,fine,,,textile,cotton,,,
,sarassa,,"serassen, serasse, sarassi, serasah, seriahs, sreas, seeras, seraser, sarasseleye",y,y,"wide variety of definitions, cotton or silk, painted and printed, unclear",textile,cotton; silk,,painted; printed,,plainweave,,"I1966: South India/Coromandel Coast (or Japan, SEAsia, Europe)","I1966: Malay archipelago (as waist cloth), Japan (other uses)",klein,,,,,,small,,garment,,,,
,satin,satin,satijn,y,y,satin - a kind of weaving pattern,textile,,,,,satin,,,,"Chinese, Hollands",,,"Chinese, Holland",,,,,textile,,,,
,savogesjes,,"sawagesjes or sauvagagis, zauvagessiens, sovaguzzies, Savoy, savagagins",y,y,"VOCgp102: cloth (lijnwaden) from Ahmedabad, mostly white, much in demand; or white cotton material mostly from Surat",textile,cotton,white,N/A,N/A,plainweave,,Ahmedabad or Surat,,white,white,,,,,,,textile,,,,
,schaapsvellen,,,n,,sheepskin - not a textile,not textile,,,,,,,,,,,,,,,,,,,,,"Vijf: 3-4 per vel, sold for 6 gulden per vel"
,scharlaken,,scheraken,y,y,fine woolen cloth of a red color,textile,wool,red,"piece-dyed (solid, single color)",,,fine,,,none,,,,,,,,textile,,,,
,scheepsklederen,,,y,n,all wool (don't confuse with schaapsvellen-sheepskin),textile/garment,wool,,,,,,,,wool,,,,wool,,,,garment,,,,
,schoenen,,,y,n,shoes,garment accessory,,,,,,,,,none,,,,,,,,garment,,,,
,schoenmakersgaren,,,y,y,shoe makers yarn (though this might be a leather or other material),yarn,,,,,,,,,,,,,,,,,industrial,,,,
,seerbands,,"sarband, sirbund, sirband, related to 'turban'",n,y,"I1966: turban cloth, Europeans consider it a fine muslin",textile,cotton,,,,plainweave,fine,I1966: Northeast India: Dacca district,I1966: London,,,,,,,,,textile,,,,
,seerbettees,,"seerbout, seerbout, seerbetjes",n,y,"plain white muslin, or with stripes or checks, see also nainsooks",textile,cotton,,colored threads (loom-patterned); undyed,stripe; check; undyed,,high quality,,,,,,,,,,,,,,,
,seergannes,,,n,y,simple cotton cloth from Bengal (VOC-Glossarium),textile,cotton,,,,,,Bengal,,,,,,,,,,,,,,
,seerhaudconnaes,,nansooks (might be included under),n,y,I1966: plain cotton cloth of ordinary quality,textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,ordinary or luxury,I1966: Northeast India,,,,,,,,,,textile,,,,
,seersuckers,,"sheer-o-shakkar, seersukers, serziken, cirsakas, sickersoy",n,y,I1966: striped fabric of mixed cotton and silk,textile,cotton/silk,,colored threads (loom-patterned),stripe,plainweave,,"I1966: Northeast India, from Malda-Kasimbazar area",,,,,,,,,,textile,,I1966: 12 yards by 7/8th yard,,
,semianoes,,samana,y,y,I1966: good plain calico of wider breadth; or Sangar definition which is wide-ranging,textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,good,I1966: India: Patiala: Samana,I1966: England (the width was desirable),,,,,,,,,textile,,I1966: 12 yards by 1.5 yards,,
,sephanga,,septhanga,n,y,cloth from Agra and Surat (single def. from VOC-glossarium),textile,,,,,,,Agra and Surat,,,,,,,,,,,,,,
,serge,,"serges, chergie, chergie de chalon/shalloon",y,y,worsted wool in twill weave (note: serge is a heavier version of say),textile,wool,,,,twill,,,,karmozijnpurpur,carmine purple,,,,,,,textile,,,,
,seroetgoet,,,n,y,a cotton cloth from Nagelwanse in Coromandel,textile,cotton,,,,,,Nagelwanse in north Coromandel,,,,,,,,,,,,,,
,serribaffs,,,n,y,"I1966: good quality fine muslin, sometimes dyed red or blue (single definition)",textile,cotton,undyed; red; blue,"piece-dyed (solid, single color)",solid (single color),plainweave,good,I1966: India: Khadesh and the Deccan,I1966: Near East and Mediterranean ports,,,,,,,,,textile,,,,
,servandams,,,n,y,cotton textile from Pulikat,textile,cotton,,,,,,Pulikat,,,,,,,,,,,,,,
,servietten,,,y,y,"A small piece of cloth, maybe cotton silk blend, maybe related to handkerchief or neusdeuken. is this the same as a handkerchief; Jones translates to napkin, small cloth, about a meter wide, of twilled gingham or Silesian linen",textile,varies,,,,,,,,,,,,,,,,,,,,
,seryas,,"serijas, seares",n,y,"I1966: cheap strong calico, either plain or striped, Europeans use for making napkins, flags, and sailcloth (single definition)",textile,cotton,,"colored threads (loom-patterned); piece-dyed (solid, single color); undyed",stripe; solid (single color); undyed,plainweave,cheap,I1966: Northwest India,I1966: Europe,,,,,,,,,textile,,,,
,sestienes,,,y,y,silk cloth or shawls from Coromandel (VOC-glossarium - sole definition),textile,silk,,,,,,Coromandel,,fine,,,,,fine,,,,,,,
,shalbafts,,,n,y,"plain white muslin, from Bengal (Chaudhuri - only definition)",textile,cotton,white,plain (undyed and unbleached?),solid (single color),,,,,,,,,,,,,,,,,
,shash,,,n,y,"I1966: generic term for muslin turban cloths, usually of fine quality, often embroidered or brocaded",textile,cotton,,supplemental thread,,plainweave; brocade; embroidered,fine,"I1966: Northwest India, and the Deccan",I1966: Turkey and North Africa,,,,,,,,,garment,,,,
,shot fabric,,,n,y,"warps and weft are different colors, so it looks different depending on angle",textile,,multiple,colored threads (loom-patterned),,,,,,,,,,,,,,,,,,
,sijnde,,tzinde,y,y,"silken cloth with red stripes, from India, term relates to Sind (Sangar - only definition))",textile,silk,red,,stripe/border,,,,,,,,,,,,,,,,,
,silesias,,,n,y,"European linen, originally made in Silesia",textile,linen,,,,,,Europe (originally Silesia),,,,,,,,,,,,,,
,silk,silk (fibers),,y,y,"presumably raw silk (not in thread form), which is packed in bales and sold by weight (Colenbranderp15)",fiber,silk,,,,N/A,,Persia,,"Persian, Bengals, Chinese, raw, raw bengals, raw persian, moghta of florette garen, naai- en stik-, ",raw,,"Persia, Bengal, China",florette,,,,fiber,silk,,,
,sipou,,,n,y,a textile with cotton or silk thread (VOC-glossarium - this is unclear),textile,cotton; silk,,,,,,,,,,,,,,,,,,,,
,sjaal,,"sjaalkoord, sjaalstoff",y,n,shawl?,textile/garment,,,,,,,,,,,,,,,,,,,,,
,sjaalkoord,,,y,n,?,unclear,,,,,,,,,,,,,,,,,,,,,
,sjaalstof,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,sjadderboraal,,,y,n,See BRAWLES,,,,,,,,,,,,,,,,,,,,,,
,sjammowaars,,,n,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,sjeklassen,,,y,n,?,textile/unclear,,,,,,,,,Bengals,,,Bengal,,,,,,,,,
,sjoucouriassen,,"sourcouriassen, sjoukoutassen",y,n,? - once it's stoffen zijden Sjoucouriassen,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,slaaplakens,,,y,n,Used bedsheets resold for clothing. VijfpCVIII: half-worn (used?) linen sheets; Jones also writes on it,textile,linen?,,,,plainweave,,,,,,,,,,,,textile,,,,Vijf: cost 1.5-2 gulden per; sold 2.5-4 gulden
,snaphaan --> TS: this is a gun (see notes column,,snaphaanslot,n,n,not textile,not textile,,,,,,,,,"bastard, fine enkele, fine glad, fine uitgekapt, gemeen",,,,,,,,not textile?,,,,TS: Snaphaan is a gun (see: https://www.marsethistoria.nl/images/Woordenlijst_VOC_artilleriewezen.pdf )
,soesjes,,"soosies, soesjes",y,y,I1966: striped or checkered cloth of silk or mixed silk and cotton,textile,cotton/silk; silk,,colored threads (loom-patterned),stripe; check,plainweave,,"I1966: Northeast India, from Malda-Kasimbazar area; also other areas, like Gujarat, under same name",I1966: England,,,,,,,,,textile,,I1966: 10-20 yards by 1 yard,,
,sollogesjes,,,y,y,fine muslin-like textile (VOC-glossarium),textile,,,,,,fine,Bengal,,fijn (bengaals),,,Bengal,,fine,,,,,,,
,sompakken,,,y,n,?,textile/unclear,,,,,,,,,coast,,,coast,,,,,,,,,
,Sourats kattoene garen,Surat cotton yarn,,n,n,see YARN,yarn,cotton,,,N/A,N/A,,Surat,,,,,,,,,,yarn,cotton,,,
,spreien,,,y,n,?,textile/unclear,,,,,,,,,"printed coast, painte",,"printed, painted",coast,,,,,,,,,
,stiksijde,,,y,n,?,unclear,,,,,,,,,,,,,,,,,,,,,
,stoffen,,"stoffer, stoffjes",y,n,is this too generic? Esp. kakatoe,textile/unclear,,,,,,,,,"silk, silk bengals/Chinese/Haarlems, kacketoe (? Stuffed bird?), Chinese (gemeen), (silk) gold and silver (Persian/Surats), Surats with golden flowers",gold and silver,floral,"Bengal, China, Haarlem, Surat",silk,common,,,textile,,,,
,swavelaerde,,zwavelaarde,y,n,is it a textile?,unclear,,,,,,,,,,,,,,,,,,,,,
,tabbaardlaken,,,y,n,?,textile/unclear,,,,,,,,,black,black,,,,,,,,,,,
,taffachelas,,"also okushima, tappseels, topseilles, tafficilas, tapsell",y,y,"Fine or cheap cotton and silk cloth that is blue and white striped, but sometimes checked, sometimes just cotton. maybe see Chelas?; RP: fine-quality calico, could also be produced from cotton and silk mixed yarn; I1966: cheap striped cloth of cotton and silk mixed, patterned in the loom; Alpern: cheapest of the cotton and silk cloths, striped with blue or other colors; see Agrawal in Crill 2006; RP agrees",textile,cotton; cotton/silk,blue/white; varies,colored threads (loom-patterned),stripe; check,plainweave,fine,,,,,,,,,,,,,,,
,taffatie,,"taffety, tafta",y,y,"I1966: silk piece goods (also refers to Chinese and Persian ones); Alpern: red, black, or striped silks, sometimes mixed with cotton; RP: general term for silk piece goods made in India and elsewhere; derives from Persian tafta meaning a glossy twist (RP also has tafta as a separate item, a Bengali silk)",textile,cotton/silk; silk,,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; solid (single color),plainweave,,"I1966: India, China, Persia",,,,,,,,,,piece goods,,,,
,tambals,,,n,y,"painted cotton cloths, in a wide variety (VOC-glossarium, only definition)",textile,cotton,varies,painted,varies,,,,,,,,,,,,,,,,,
,tamerhindos,,,y,n,?,,,,,,,,,,,,,,,,,,,,,,
,tametten,,,n,y,small cotton Coromandel textiles (VOC and Hartkamp-Jonxis),textile,cotton,,,,,,,,,,,,,,,,,,,,
,tampy's,,,n,y,printed textile from Golconda (VOC-glossarium),textile,,,printed,,,,,,,,,,,,,,,,,,
,tandjungpura,,,y,n,?,textile/unclear,,,,,,,,,nieuw,,,,,,,new,,,,,
double check whether therindians and tansjeeps are the same,tanjeebs,,"tunzebs, tansjeebs, tansjeeps, tanjeebs, terindams, tangsjeeps, therindian, terrindams, turunams, terindani",y,y,"I1966: plain cotton cloth, usually of superior quality, sometimes embroidered with silks in chain stitch on special order; VOCgp113: very fine muslin cloth (doeken) from silk or cotton (MK: while secondary glossaries suggest therindians and tansjeeps are the same, VOC consistently keeps them separate, so will keep them separate in the data. Likely they could be categorized together)",textile,cotton; silk,,plain (undyed and unbleached?); supplemental thread,N/A,plainweave and embroidered,superior,I1966: Northeast India: Bengal: Dacca district,"I1966: England special orders for petticoats, dress material, etc","fine, floral, ",,floral,,,fine,,,textile,,,,"Tansjeeps and Therindians found on same list, so there must be a distinction, but not in the VOC glossarium"
,tannyzijde,,tanna-bannazijde,y,y,"best quality Bengal silk, woven (VOC-glossarium)",textile,silk,,,,,superior,,,eigen gerede (gestrengde),,,,,,,eigen gerede (gestrengde),,,,,
,tapekankenias,,"a type of tapis, tape-kankenias",y,y,VOCgp113-4: gold brocade tapis; VOC uses tapis with mod kankenias and tapekankenias interchangeably,textile,,gold,,,brocade,,,,none,,,,,,,,textile,,,,
,tapi-chindaes,,tapichindaes,y,y,"RP: cheap painted or printed cloth made especially for the Spice Islands, worn as skirt",textile/garment,,varies,painted; printed,,,cheap,,Spice Islands,,,,,,,,,textile,,,,
,tapijten,,"tapiten, tapyten",n,y,"VijfpCVIII: tablecloths, 4-8 el by 2.5-3.5 el",textile/finished,,,,,,,,,,,,,,,,,textile,,,,"Vijf: cost 15-16 gulden; sale 20, 24, 28 gulden; usually a gift"
,tapis,,tappe,y,y,"I1966: garment for Malay archipelago, could be painted cotton or ikat-weave; Gittinger 199: woman's sarong, a hip wrapper",textile/garment,cotton; cotton/silk; silk,,painted; colored threads (loom-patterned - ikat),varies,,,Lampung (Indonesia); I1966: Northwest India: Gujarat,I1966: Malay Archipelago,"diverse nieuwe slag, govers, govers kust/Mataram, grinssing, grinssing kust, Java (fijn/gemeen/nieuwe slag), Java leijde Malija, kankenias (breed/smal), kettingwerk (nieuwe slag), mallapur (grot/klein) (coast), ordinaris kettingwerk, pingams, pingams (coast/groot/klein) (bloemen), sabagi (coast/lei lei/Pulicats), serassen, serassen groot, serassen groot bloemwerk, serassen groot coast, serassen klein, serassen klein kust, chintz, chintz groot, chintz groot kust, chintz small, chintz small coast, chintz klein met boorden, chintz met boorden, telpocan (daalderwerk), telpocan groot (kust), telpocan small (coast), tepocan small ordinaris, painted",,"painted, floral","coast, Mataram, Java, Pulicat",,ordinary,"wide, narrow, large, small","govers, grinssing, nieuwe slag, leijde Malija, kankenias, kettingwerk, mallapur, pingams, sabagi, lei, serassen, chintz, met boorden, telpocan, daalderwerk",textile,,,,
,tappseels,,"topseilles, tafficilas, tapsell",,,see TAFFECHELAS,textile,cotton/silk,,colored threads (loom-patterned),,plainweave,cheap,I1966: Northwest India: Sind and Cambay-Ahmedabad area,I1966: slave traders and Malay Archipelago; RP Guinea Coast,,,,,,,,,textile,,,,
,tapsintos,,,n,y,"painted cottons (Alpern, single definition)",textile,cotton,,painted,,,,,,,,,,,,,,,,,,
,telpocan,,"tjeplok, tapetelpocans, telpocans, telpukans, see also tapi",n,y,red or black textile from the Coromandel coast with round or cross-formed pattern in gold and silver thread? (two definitions: VOC Glossarium and Hartkamp-Jonxis),textile,,red; black with gold; silver,supplementary thread,round or cross pattern,,,,,,,,,,,,,,,,,
,tepoy,,,n,y,Indian cloth of mixed cotton and silk (Peck and Chaudhuri),textile,cotton/silk,,,,,,"India, Bengal",,,,,,,,,,,,,,
,tesser,,,y,,see TUSSUR,,,,,,,,,,,,,,,,,,,,,,
,tessergaren,,,y,,see TUSSURGAREN,,,,,,,,,,,,,,,,,,,,,,
,therindains,,,,,see TANSJEEBS; src_00054 compared to BGB - there is a coincidence in numbers that suggests this could be the same as tesserse allegias (a cotton),textile,cotton; silk,,plain (undyed and unbleached?),N/A,plainweave,very fine,I1966: Northeast India: Bengal: Dacca district,,fine,,,,,fine,,,textile,,,,"Tansjeeps and Therindians found on same list, so there must be a distinction, but not in the VOC glossarium"
,tijken,,beddetijken,n,y,"thick twilled cotton textile, blue striped or checked (Jones and Ratelband)",textile,cotton,blue/white,colored threads (loom-patterned),stripe; check,twill,,,,blue stripes or squares (checks?),blue,"striped, checkered",,,,,,textile,,,,"Vijf: cost4-5 gulden/piece, sold 8 gulden"
,timbees,,,y,n,?,textile/unclear,,,,,,,,,Japans,,,Japan,,,,,,,,,
,tjavellis,,,n,n,see CHAULS,,,,,,,,,,,,,,,,,,,,,,
,toepettijs,,,y,,see DUPATTA,,,,,,,,,,,,,,,,,,,,,,
,toerias,,,n,y,"painted cloth with roundels (daalders), thick canvas (VOC-Glossarium and Hartkamp-Jonxis with the same def)",textile,,,painted,roundels (daalders),,thick,Coromandel?,,,,,,,,,,,,,,
,took,,,y,n,?,unclear,,,,,,,,,(gouden) surats (with gold and silver stripes),"gold, gold/silver",,Surat,,,,,,,,,
,tricandia,,"tricam, trichandiea",n,y,"textile from Gujarat (VOC-glossarium, only definition)",textile,,,,,,,Gujarat,,,,,,,,,,,,,,
,tuckeryes,,"tuckrees, becutpoorees",n,y,"I1966: striped silk piece-goods, probably very similar to alachas (only definition)",textile,silk,,colored threads (loom-patterned),stripe,plainweave,,"I1966: India: Bihar: Baikanthpur, ten miles east of Patna",,,,,,,,,,textile,,I1966: 4 coveds long by 7/8th broad,,
,tuinzaad,,,,,garden seed,not textile,,,,,,,,,,,,,,,,,,,,,
,Turkse stoff,,turxse stoff,n,y,"VijfpCVIII: mohair (Turkish goat) wool, calendared (pressed until smooth) (only definition)",textile,wool (mohair goat),,,,,calendared,Turkey,,,,,,,,,,,,,,Vijf: cost 1.5 gulden/el; sold 3 gulden/el
,tussur,,"tusser, tussore, herba, tesser, tessergaren",y,,"wild silk, yellow, less bright and glossy than muga, used in lots of silk and cotton blend textiles",fiber,silk,yellow,,,N/A,,I1966: Northeast India: Bengal,,chiomen,,,,,,,chiomen,fiber,silk,,,
,tussurgaren,,tessergaren,y,n,yarn spun from tussur silk fiber,yarn,,yellow,,,,,,,,,,,,,,,,,,,
,tÿms cloth,,"tÿms cleeden, cymons, simons",n,y,cloth exported from Benin for intra-African trade (Jones),textile,,,,,,,Benin,Africa,,,,,,,,,,,,,
,vellen,,"velours, floers",n,y,woolen cloth with velvet pile (Jones) or the same in cotton (Riello-Parth),textile,cotton; wool,,,,velvet,,,,Persian,,,Persia,,,,,not textile,,,,
,vijgertouw,,vijgertros,y,y,rope made from ficus fiber,not textile,,,,,,,,,zwaar,,,,,heavy,,,,,,,
,vlaggendoek,,,y,n,flag cloth (no definitions),textile,,,,,,,,,"Surats, Tuticorins, blue, Coromandels, Hollands, red",red,,"Surat, Tuticorin, Coromandel, Holland",,,,,textile,,,,
,vrouwenmuil,,,y,n,?,textile,,,,,,,,,geborduurd,,bordered,,,,,,,,,,
,wasdoek,,,y,n,waxed cloth (no definitions),textile,,,,,,industrial,,,tot afpakking/emballeren,,,,,,,,packing,,,,
,watten,,,y,n,?,,,,,,,,,,,,,,,,,,,,,,
,wickerwandi,,,n,y,cotton textile from Karkal and Nagapattinam (VOC-glossarium and Hartkamp-Jonxis),textile,cotton,,,,,,India: Karkal and Nagapattinam,,,,,,,,,,,,,,
,wirry,,wixry,n,y,"Ratelband: he's unsure, but it comes in textile-like sizes (only definition)",textile/unclear,,,,,,,,,,,,,,,,,,,,,Vijf: comes in 38-40 el length; cost is 18 gulden per piece
,"wool, Kirmans",,,,n,see KIERMANSE WOL (is this related to Kersey?),textile,wool,,,,,,,,,,,,,,,,,,,,
,worsted,,,n,y,"lightweight cloth from wool, originally from Worstead (Peck)",textile,wool,,,,,,,,,,,,,,,,,,,,
,wysmoet or witmont,? (also not sure it's a textile),,n,n,?,unclear,,,,,,,,,,,,,,,,,,,,,
,yarn,yarn,garen,y,n,yarn/thread -- spun textile,yarn,,,,,,,,,"gemeen, (grof/fine) Hollands, cotton, cotton Javaans/Bengals/Surats/Tutucorins, (cotton) Tuticorins, ruw, Surats, tesser, kardoes, bengals cotton, florette, from the coast, gekleurd; pak- en zeil-, tot voering, white, kardoes","Either these are short cotton cloths dyed blue or black; or they are white cloths with red striped borders. see kannekyns I1966: cheap coarse calico, dyed blue or black, material probably same as baftas, mostly before 1650; Alpern: a white cotton cloth with a red stripe at one end; some are dyed blue",,"Holland, Java, Bengal, Surat, Tutucorin, coast","cotton, tesser, florette","common, fine, rough",,"kardoes, pak- en zeil-",yarn,,,,
,zegelgaren,,zeilgaren,y,y,sail yarn ?,yarn,,,,,N/A,industrial,,,"bengals/hollands, inlands, white",white,,"Bengal, Holland",,,,inlands,industrial,,,,
,zegellak,,,y,n,sail cloth?,unclear,,,,solid (single color),,industrial,,,red,red,,,,,,,industrial,,,,
,zeil,,,y,n,sail,textile/finished,,,,solid (single color),,,,,,,,,,,,,,,,,
,zeilkleed,,zeilkleed,y,n,see SAIL CLOTHING,textile/garment,,,,,plainweave,industrial,,,,,,,,,,,industrial,,,,
,zeilmakersgaren,,,y,n,sail makers yarn? probably the same as zegelgaren Not sure if this is a fiber,yarn,,,,,N/A,industrial,,,,,,,,,,,industrial,,,,
,zijde,silk (fibers),,,,see SILK,fiber,silk,,,,N/A,,,,,,,,,,,,fiber,silk,,,
,zijdegeweer,,,y,n,?,unclear,,,,,,,,,,,,,,,,,,,,,
,zilverlaken,,,n,n,? Silver linens or laquer,textile/unclear,,silver,,,,,,,Persian,,,Persia,,,,,,,,,
,zuartes,,,n,y,indigo-dyed blue-black cotton cloths traded in the Zambezi valley (Reillo-Parth -- only definition),textile,cotton,blue (indigo),"piece-dyed (solid, single color)",solid (single color),,,,Zambezi Valley,,,,,,,,,,,,,
